Sequence,word1,word2,polarity
0,a,triumph,4
1,a,smart,4
2,a,cleverly,4
3,a,gem,4
4,a,nightmare,0
5,a,waste,0
6,absolute,joy,4
7,absolute,delight,4
8,absolutely,amazing,4
9,absurd,lengths,0
10,absurd,finale,0
11,absurdities,inconsistencies,0
12,absurdly,simplistic,0
13,accomplish,sequels,4
14,accomplished,work,4
15,accomplished,actress,4
16,acting,horribly,0
17,action,dazzling,4
18,admirable,quality,4
19,aggravating,tedious,0
20,aggressive,sincere,4
21,agonizing,bore,0
22,aimless,hodgepodge,0
23,almost,unbearably,0
24,also,rocks,4
25,also,unoriginal,0
26,always,entertaining,4
27,always,watchable,4
28,always,hilarious,4
29,always,enthralling,4
30,always,disappointing,0
31,amateurish,screenplay,0
32,amazing,slapstick,4
33,amazing,finesse,4
34,amazing,breakthrough,4
35,amazing,yes,4
36,amazingly,evocative,4
37,amazingly,successful,4
38,ambitious,failure,0
39,amiable,committed,4
40,amusing,characters,4
41,amusing,unpredictable,4
42,amusing,unsettling,4
43,an,unsophisticated,0
44,annoying,demeanour,0
45,annoying,thing,0
46,annoying,artificial,0
47,another,smash,4
48,another,classic,4
49,another,masterpiece,4
50,anyone,relate,4
51,anything,laughable,0
52,apartheid,drama,0
53,appalling,comedy,0
54,artificial,soulless,0
55,artistically,inept,0
56,astonish,entertain,4
57,astonishing,grandeur,4
58,astonishing,growth,4
59,astonishingly,pivotal,4
60,astonishingly,vivid,4
61,astounding,performance,4
62,astoundingly,rich,4
63,astronomically,bad,0
64,at,worst,0
65,attractive,movie,4
66,attractive,talented,4
67,attractive,throughout,4
68,authentic,core,4
69,average,thriller,4
70,award,winning,4
71,awe,inspiring,4
72,awe,affection,4
73,awesome,work,4
74,awful,snooze,0
75,awful,acts,0
76,awful,complications,0
77,awful,movie,0
78,awfulness,movie,0
79,baaaaaaaaad,movie,0
80,bad,bluescreen,0
81,bad,movie,0
82,bad,act,0
83,bad,film,0
84,bad,idea,0
85,bad,writing,0
86,bad,run,0
87,bad,choice,0
88,bad,baffling,0
89,bad,enough,0
90,bad,sitcom,0
91,bad,plot,0
92,bad,think,0
93,bad,cruel,0
94,bad,filmmaking,0
95,bad,direction,0
96,bad,imitation,0
97,bad,actress,0
98,bad,premise,0
99,bad,purpose,0
100,bad,cinema,0
101,bad,behavior,0
102,badder,bad,0
103,badly,edited,0
104,badly,rendered,0
105,banality,hypocrisy,0
106,barely,tolerable,0
107,barf,bag,0
108,beautiful,film,4
109,beautiful,watch,4
110,beautiful,canvas,4
111,beautiful,evocative,4
112,beautiful,women,4
113,beautiful,mysterious,4
114,beautifully,edited,4
115,beautifully,filmed,4
116,beautifully,made,4
117,beautifully,choreographed,4
118,beautifully,produced,4
119,beautifully,shot,4
120,beautifully,read,4
121,beautifully,designed,4
122,beautifully,realized,4
123,beauty,grace,4
124,beauty,behold,4
125,becomes,unwatchable,0
126,best,actor,4
127,best,films,4
128,best,kind,4
129,best,film,4
130,best,mature,4
131,best,pictures,4
132,best,movies,4
133,best,thing,4
134,best,exciting,4
135,best,years,4
136,best,short,4
137,best,work,4
138,best,story,4
139,best,sequel,4
140,best,performance,4
141,best,worlds,4
142,best,actors,4
143,better,film,4
144,better,predecessor,4
145,bewilderingly,brilliant,4
146,big,hearted,4
147,big,letdown,0
148,biggest,disappointments,0
149,bitter,end,0
150,blah,characters,0
151,blasphemous,nonsensical,0
152,blasphemous,bad,0
153,bleak,pessimistic,0
154,bogs,insignificance,0
155,bogus,story,0
156,bogus,profundities,0
157,bore,audiences,0
158,bore,athon,0
159,boredom,point,0
160,boring,movie,0
161,boring,man,0
162,boring,obvious,0
163,boring,pretentious,0
164,both,exuberantly,4
165,bottom,barrel,0
166,bottom,bill,0
167,brainless,flibbertigibbet,0
168,brash,intelligent,4
169,brave,sweetly,4
170,bravura,performance,4
171,breakthrough,filmmaking,4
172,breathtaking,landscapes,4
173,breathtaking,mystery,4
174,breathtaking,adventure,4
175,breathtakingly,spectacular,4
176,bright,future,4
177,bright,inventive,4
178,brilliant,macabre,4
179,brilliant,movie,4
180,brilliant,brutal,4
181,brilliant,piece,4
182,brilliant,performances,4
183,brilliant,director,4
184,brilliant,really,4
185,brilliant,touches,4
186,brilliantly,played,4
187,brilliantly,written,4
188,brisk,amusing,4
189,buoyant,feeling,4
190,burn,brain,0
191,caffeinated,sloppy,0
192,capable,nailbiter,4
193,captivating,drama,4
194,captivating,intimate,4
195,car,wreck,0
196,care,story,4
197,career,defining,4
198,career,best,4
199,careless,unfocused,0
200,carries,far,4
201,cash,sequel,0
202,cast,impressive,4
203,casual,fun,4
204,cat,meow,4
205,celebrated,wonder,4
206,celluloid,garbage,0
207,cerebral,likable,4
208,characteristically,complex,4
209,charge,money,0
210,charismatic,charmer,4
211,charming,witty,4
212,charming,evoking,4
213,charming,quirky,4
214,charming,quirks,4
215,charming,result,4
216,charming,funny,4
217,cheap,junk,0
218,child,abuse,0
219,child,pain,0
220,childhood,imagination,4
221,childlike,dimness,0
222,chilling,fascinating,4
223,choose,skip,0
224,choppy,sloppy,0
225,cinema,classic,4
226,cinemantic,flair,4
227,cinematic,perfection,4
228,cinematic,punishment,0
229,cinematic,disaster,0
230,cinematic,art,4
231,cinematic,pratfalls,0
232,cinematic,poetry,4
233,cinematography,atrocious,0
234,cinephile,feast,4
235,classic,satire,4
236,clear,point,4
237,clever,suspenseful,4
238,clever,unflinching,4
239,clever,unexpected,4
240,clever,insightful,4
241,clever,adaptation,4
242,clever,subtle,4
243,clever,funny,4
244,clever,script,4
245,clever,cutting,4
246,clueless,inept,0
247,cold,dead,0
248,cold,fish,0
249,comedic,bliss,4
250,comedy,death,0
251,comes,winningly,4
252,committed,dumbness,0
253,committed,performances,4
254,compelling,film,4
255,compelling,storyline,4
