Word,Count
powerful,36
solid,33
warm,18
inventive,15
provides,15
refreshing,14
riveting,12
universal,11
enjoyed,10
dazzling,10
heartwarming,10
assured,10
vibrant,10
elegant,10
stirring,9
intoxicating,9
joyous,9
mesmerizing,9
stunning,9
playful,9
detailed,9
wry,8
bittersweet,8
spectacular,8
deft,8
crisp,8
heartbreaking,8
splendid,8
masterful,7
unpredictable,7
hopeful,7
pulls,7
startling,7
evocative,7
rewarding,7
musical,7
breathtaking,7
returns,6
delicious,6
harrowing,6
soulful,6
transcends,6
strikes,6
constant,6
celebrates,6
confident,6
sensual,6
combines,6
sympathetic,6
touched,6
whimsical,6
measured,6
understated,6
unforced,6
bringing,6
ingenious,6
thick,5
guessing,5
familial,5
uplifting,5
unnerving,5
potent,5
sparkling,5
outstanding,5
encouraging,5
faithful,5
draws,5
marks,5
builds,5
polished,5
adventurous,5
sobering,5
hypnotic,5
inspirational,5
delivering,5
irresistible,5
understands,5
impeccable,5
terrifying,5
transforms,4
stylized,4
shines,4
diverse,4
lifts,4
guaranteed,4
melancholy,4
popular,4
gory,4
exotic,4
fast,4
parable,4
embraces,4
idiosyncratic,4
incredible,4
capturing,4
manage,4
bracing,4
sly,4
distinctive,4
nuanced,4
pleasurable,4
taut,4
pleasing,4
invaluable,4
blue,4
speaks,4
managed,4
examines,4
inner,4
bring,4
spare,4
verbal,4
timeless,4
enormous,4
infuses,4
destined,4
explores,4
sustains,4
forceful,4
everyday,4
excels,4
expressive,4
extravagant,3
mythic,3
primary,3
understand,3
literate,3
lonely,3
hidden,3
reassuring,3
unknown,3
insane,3
wondrous,3
enigmatic,3
enduring,3
liberating,3
meditative,3
canny,3
challenges,3
nervy,3
glorious,3
woven,3
wide,3
cerebral,3
intact,3
help,3
layered,3
showcases,3
starting,3
enhances,3
catching,3
pointed,3
unconditional,3
ideal,3
cuts,3
infectious,3
born,3
lesser,3
surprised,3
stark,3
unpretentious,3
skillful,3
piercing,3
romp,3
strongest,3
metaphorical,3
alert,3
physical,3
illuminating,3
carry,3
wholesome,3
elusive,3
reminded,3
escapist,3
pulpy,3
inviting,3
likeable,3
unblinking,3
tuned,3
informative,3
sneaks,3
establishes,3
heroic,3
saves,3
breathes,3
radiant,3
reliable,3
denying,3
satisfies,3
iconoclastic,3
searing,3
ancient,3
sardonic,3
greater,3
suitable,3
allowing,3
objective,3
cheeky,3
relaxed,3
steals,3
arresting,3
legal,3
higher,3
elevates,3
grew,3
fits,3
sublime,3
tempting,3
charged,3
pertinent,3
spiced,3
beguiling,3
sprightly,3
communal,3
unforgettable,3
upper,3
symbolic,3
introspective,2
midlife,2
tricky,2
peppering,2
kooky,2
proud,2
recognizable,2
civic,2
compressed,2
succeed,2
achieving,2
delectable,2
unsurprising,2
idealistic,2
chooses,2
observed,2
cowering,2
aware,2
lectures,2
nostalgic,2
imbued,2
stooping,2
grieving,2
keen,2
retro,2
remember,2
sung,2
ominous,2
fused,2
injects,2
atmospheric,2
attached,2
suck,2
hallucinatory,2
sends,2
affectionate,2
blithe,2
heartening,2
consuming,2
expressing,2
kinky,2
subtlest,2
unhurried,2
calibrated,2
standing,2
humane,2
evoking,2
viewed,2
triple,2
double,2
transformed,2
painted,2
valiant,2
captured,2
blended,2
teeming,2
ranks,2
accomplishes,2
masculine,2
effecting,2
satiric,2
averting,2
opened,2
affirms,2
coping,2
leads,2
marching,2
exudes,2
crazed,2
accepts,2
multiple,2
fit,2
foster,2
repressed,2
sentimentalizing,2
effortless,2
balances,2
succumbing,2
massive,2
prevails,2
frothy,2
ethical,2
ebullient,2
rival,2
enriched,2
floating,2
unabashed,2
rests,2
separate,2
caffeinated,2
economic,2
moralistic,2
zings,2
nonjudgmental,2
evolved,2
enveloping,2
stimulating,2
elevate,2
careful,2
painterly,2
approaches,2
overrun,2
unflappable,2
reverent,2
tend,2
returning,2
updating,2
numerous,2
efficient,2
emerging,2
marked,2
affirming,2
represented,2
maternal,2
crackles,2
sporadic,2
splashed,2
inimitable,2
exceeds,2
seductive,2
recreates,2
resonate,2
fashioned,2
breaking,2
describes,2
unsubtle,2
analytical,2
permits,2
newfangled,2
highlighted,2
priceless,2
quaint,2
pop,2
express,2
melancholic,2
follow,2
freaky,2
embraced,2
scathing,2
unruly,2
unmistakable,2
applies,2
shameless,2
move,2
struggles,2
revisionist,2
doomed,2
elevated,2
menacing,2
pretty,2
am,2
leaping,2
acute,2
murderous,2
irrational,2
cunning,2
savage,2
enjoying,2
mixes,2
oppressive,2
anguished,2
chief,2
specific,2
crafty,2
unorthodox,2
fulfilling,2
persuasive,2
magnetic,2
hailed,2
redeems,2
rueful,2
heightened,2
spontaneous,2
stirs,2
blessed,2
economical,2
riveted,2
chafing,2
rapt,2
formed,2
gaze,2
shared,2
incapable,2
adorable,2
steady,2
improves,2
wondered,2
carved,2
impulsive,2
resorting,2
compassionate,2
robust,2
unexplainable,2
suspended,2
courageous,2
fly,2
logical,2
villainous,2
consummate,2
wicked,2
updated,2
chimes,2
corporate,2
desolate,2
colored,2
individual,2
underestimated,2
bumbling,2
improved,2
captivates,2
abandon,2
remaining,2
immaculate,2
conned,2
scarifying,2
weaving,2
manic,2
engages,2
care,2
bouncy,2
postmodern,2
wrenching,2
strict,2
educational,2
oozing,2
discovering,2
merges,2
form,2
quieter,2
awesome,2
cohesive,2
pristine,2
lean,2
jaded,2
shattering,2
feisty,2
heated,2
sassy,2
confronting,2
unknowable,2
kinetic,2
immigrant,2
illustrated,2
pursuing,2
steers,2
prim,2
centered,2
spiked,2
weaves,2
surefire,2
pleased,2
flawless,2
ripping,2
miraculous,2
smaller,2
dramatized,2
acknowledges,2
preteen,2
places,2
forbidden,2
jumps,2
spellbinding,2
facing,2
turbulent,2
rigid,2
eats,2
divine,2
occupied,2
wonder,2
embracing,2
exhausted,2
criminal,2
refreshed,2
languid,2
primal,2
foremost,2
adapted,2
historic,2
swooping,2
armed,2
scariest,2
collide,2
flying,2
centering,2
questioning,2
outer,2
unimaginable,2
fights,2
ecological,2
articulates,2
reflective,2
possess,2
restrained,2
humanistic,2
numbered,2
illustrating,2
thrives,2
tucked,2
closest,2
caustic,2
bolstered,2
psychedelic,2
thrilling,1
rooted,1
undergoing,1
bilingual,1
oddest,1
meaty,1
tackled,1
overeager,1
cradles,1
swaying,1
veiling,1
bind,1
arriving,1
skittish,1
maddening,1
comprehensible,1
rouses,1
swirling,1
threatens,1
seamless,1
evanescent,1
consoled,1
narcissistic,1
dared,1
hews,1
hooked,1
rhapsodizes,1
uncluttered,1
relays,1
truest,1
hungry,1
twisty,1
needless,1
omits,1
renowned,1
parapsychological,1
luscious,1
workable,1
outpaces,1
squeezed,1
lurks,1
esoteric,1
leaps,1
arch,1
trembling,1
matches,1
warmest,1
rely,1
beating,1
downplays,1
evolves,1
undeterminable,1
coheres,1
scratches,1
cannibal,1
organizing,1
misunderstood,1
multilayered,1
averse,1
lie,1
elicits,1
moist,1
reaffirming,1
anchoring,1
cheered,1
awards,1
glows,1
conniving,1
degrading,1
pasty,1
dispassionate,1
gasping,1
reacting,1
geographical,1
affects,1
streamlined,1
contributed,1
spout,1
comatose,1
controlled,1
rivals,1
luminous,1
depleted,1
publishing,1
wiser,1
forthright,1
bustling,1
doles,1
ne,1
immersive,1
treasured,1
joyful,1
forming,1
convey,1
basest,1
benevolent,1
subtly,1
captivated,1
crushed,1
fumes,1
pours,1
riled,1
silent,1
trust,1
recalling,1
cherished,1
fallible,1
urges,1
documenting,1
surveyed,1
shifting,1
