,word,polarity
0,entertaining,4
1,thrilling,4
2,hate,0
3,joy,4
4,extravagant,4
5,better,4
6,sweet,4
7,love,4
8,best,4
9,impeccable,4
10,avoid,0
11,amusing,4
12,bad,0
13,spectacularly,4
14,sensational,4
15,satisfying,4
16,engaging,4
17,memorable,4
18,refreshing,4
19,smart,4
20,impressed,4
21,fun,4
22,impossible,0
23,funny,4
24,clever,4
25,proud,4
26,pretty,4
27,sexy,4
28,recommended,4
29,great,4
30,enjoy,4
31,pleasure,4
32,fails,0
33,thoughtful,4
34,masterful,4
35,masterpiece,4
36,perfect,4
37,cheap,0
38,element,4
39,vulgar,0
40,riveting,4
41,honest,4
42,beautiful,4
43,delectable,4
44,powerful,4
45,brilliant,4
46,fresh,4
47,amazing,4
48,uninspired,0
49,perfectly,4
50,convoluted,0
51,brilliantly,4
52,violence,0
53,right,4
54,unfocused,0
55,dull,0
56,charming,4
57,beautifully,4
58,preposterous,0
59,pointless,0
60,disappointed,0
61,depress,0
62,humor,4
63,literate,4
64,splendor,4
65,depressing,0
66,depraved,0
67,terrific,4
68,wondrously,4
69,happy,4
70,shines,4
71,worthy,4
72,confident,4
73,mesmerizing,4
74,dungpile,0
75,feces,0
76,horrible,0
77,ripoff,0
78,inspires,4
79,successful,4
80,irritating,0
81,garbage,0
82,disappointingly,0
83,breathtakingly,4
84,creative,4
85,dreadful,0
86,painfully,0
87,letdown,0
88,hot,4
89,monumental,4
90,joyless,0
91,idiotic,0
92,annoying,0
93,atrocious,0
94,disappointments,0
95,abhorrent,0
96,hell,0
97,stupid,0
98,sloppy,0
99,master,4
100,laughter,4
101,funniest,4
102,terribly,0
103,excellent,4
104,superb,4
105,trash,0
106,failed,0
107,laughing,4
108,rip,0
109,crimes,0
110,admirable,4
111,nightmare,0
112,remarkable,4
113,poignant,4
114,delight,4
115,hope,4
116,intelligent,4
117,soars,4
118,grand,4
119,disappointing,0
120,engrossing,4
121,crude,0
122,sucks,0
123,masterfully,4
124,tortured,0
125,boring,0
126,luminous,4
127,wreaked,0
128,frustration,0
129,euphoria,4
130,unexceptional,0
131,excruciating,0
132,wiser,4
133,unlikable,0
134,stunning,4
135,pleasant,4
136,playful,4
137,worst,0
138,extraordinary,4
139,joyful,4
140,inspirational,4
141,impressive,4
142,warmth,4
143,dazzling,4
144,captivated,4
145,glorious,4
146,interesting,4
147,doa,0
148,happiness,4
149,cherished,4
150,loved,4
151,astonishing,4
152,winner,4
153,magnificent,4
154,genuine,4
155,gem,4
156,topnotch,4
157,sparkling,4
158,execrable,0
159,check,4
160,unacceptable,0
161,alluring,4
162,cheery,4
163,frustrating,0
164,unsatisfying,0
165,magical,4
166,gorgeousness,4
167,disaster,0
168,spot,4
169,outstanding,4
170,captivating,4
171,adored,4
172,entertained,4
173,morbid,0
